Tarih Saat;Adisyon;Ürün;Kategori;Adet;Birim Fiyat;Tutar;Yemek Maliyeti;Kişi;Öğün;İptal
2026-01-01 21:00;ADS-1009;Baklava;Tatlı;2;95,00;190,00;60,00;;Akşam;Hayır
2026-01-01 20:00;ADS-1010;Mercimek Çorba;Başlangıç;1;60,00;60,00;20,00;3;Akşam;Hayır
2026-01-01 21:00;ADS-1011;Baklava;Tatlı;2;95,00;190,00;60,00;3;Akşam;Hayır
2026-01-01 21:00;ADS-1011;Mercimek Çorba;Başlangıç;1;60,00;60,00;20,00;;Akşam;Hayır
2026-01-01 21:00;ADS-1011;Ayran;İçecek;2;28,00;56,00;18,00;;Akşam;Hayır
2026-01-01 21:00;ADS-1011;Mevsim Salata;Başlangıç;1;95,00;95,00;33,00;;Akşam;Hayır
2026-01-01 12:00;ADS-1012;Köfte;Ana Yemek;1;126,00;126,00;117,00;2;Öğle;Hayır
2026-01-01 12:00;ADS-1012;Köfte;Ana Yemek;1;126,00;126,00;117,00;;Öğle;Hayır
2026-01-01 19:00;ADS-1013;Mercimek Çorba;Başlangıç;2;60,00;120,00;40,00;1;Akşam;Hayır
2026-01-01 19:00;ADS-1013;Deniz Mahsulü Güveç;Ana Yemek;2;300,00;600,00;480,00;;Akşam;Hayır
2026-01-01 20:00;ADS-1014;Mevsim Salata;Başlangıç;1;95,00;95,00;33,00;4;Akşam;Hayır
2026-01-01 20:00;ADS-1014;Ayran;İçecek;1;28,00;28,00;9,00;;Akşam;Hayır
2026-01-01 21:00;ADS-1015;Deniz Mahsulü Güveç;Ana Yemek;2;300,00;600,00;480,00;4;Akşam;Hayır
2026-01-01 21:00;ADS-1015;Deniz Mahsulü Güveç;Ana Yemek;1;300,00;300,00;240,00;;Akşam;Hayır
2026-01-01 14:00;ADS-1016;Izgara Balık;Ana Yemek;2;238,00;476,00;210,00;3;Öğle;Hayır
2026-01-01 14:00;ADS-1016;Kola;İçecek;2;22,00;44,00;22,00;;Öğle;Hayır
2026-01-01 20:00;ADS-1017;Kola;İçecek;2;32,00;64,00;22,00;2;Akşam;Hayır
2026-01-01 20:00;ADS-1017;Köfte;Ana Yemek;2;180,00;360,00;234,00;;Akşam;Hayır
2026-01-01 20:00;ADS-1017;Baklava;Tatlı;2;95,00;190,00;60,00;;Akşam;Hayır
2026-01-01 12:00;ADS-1018;Kola;İçecek;1;22,00;22,00;11,00;3;Öğle;Hayır
2026-01-01 12:00;ADS-1018;Köfte;Ana Yemek;2;126,00;252,00;234,00;;Öğle;Hayır
2026-01-01 12:00;ADS-1018;Ayran;İçecek;2;20,00;40,00;18,00;;Öğle;Hayır
2026-01-01 14:00;ADS-1019;Mercimek Çorba;Başlangıç;2;42,00;84,00;40,00;2;Öğle;Hayır
2026-01-01 14:00;ADS-1019;Baklava;Tatlı;2;67,00;134,00;60,00;;Öğle;Hayır
2026-01-01 14:00;ADS-1019;Baklava;Tatlı;1;67,00;67,00;30,00;;Öğle;Hayır
2026-01-01 19:00;ADS-1020;Mevsim Salata;Başlangıç;2;95,00;190,00;66,00;3;Akşam;Hayır
2026-01-01 19:00;ADS-1020;Kola;İçecek;1;32,00;32,00;11,00;;Akşam;Hayır
2026-01-01 13:00;ADS-1021;Ayran;İçecek;2;20,00;40,00;18,00;2;Öğle;Hayır
2026-01-01 13:00;ADS-1021;Tavuk Şiş;Ana Yemek;1;154,00;154,00;66,00;;Öğle;Hayır
2026-01-01 13:00;ADS-1021;Sütlaç;Tatlı;2;53,00;106,00;52,00;;Öğle;Hayır
2026-01-01 13:00;ADS-1021;Kola;İçecek;2;22,00;44,00;22,00;;Öğle;Hayır
2026-01-01 12:00;ADS-1022;Köfte;Ana Yemek;2;126,00;252,00;234,00;4;Öğle;Hayır
2026-01-01 19:00;ADS-1023;Köfte;Ana Yemek;1;180,00;180,00;117,00;4;Akşam;Hayır
2026-01-01 19:00;ADS-1023;Köfte;Ana Yemek;1;180,00;180,00;117,00;;Akşam;Hayır
2026-01-01 19:00;ADS-1023;Ayran;İçecek;2;28,00;56,00;18,00;;Akşam;Hayır
2026-01-01 19:00;ADS-1024;Mevsim Salata;Başlangıç;1;95,00;95,00;33,00;2;Akşam;Hayır
2026-01-01 19:00;ADS-1024;Izgara Balık;Ana Yemek;2;340,00;680,00;210,00;;Akşam;Hayır
2026-01-01 12:00;ADS-1025;Tavuk Şiş;Ana Yemek;2;154,00;308,00;132,00;3;Öğle;Hayır
2026-01-01 12:00;ADS-1025;Izgara Balık;Ana Yemek;1;238,00;238,00;105,00;;Öğle;Hayır
2026-01-01 12:00;ADS-1025;Kola;İçecek;2;22,00;44,00;22,00;;Öğle;Hayır
2026-01-01 12:00;ADS-1025;Mevsim Salata;Başlangıç;1;67,00;67,00;33,00;;Öğle;Hayır
2026-01-01 21:00;ADS-1026;Köfte;Ana Yemek;1;180,00;180,00;117,00;1;Akşam;Hayır
2026-01-01 21:00;ADS-1026;Kola;İçecek;1;32,00;32,00;11,00;;Akşam;Hayır
2026-01-01 21:00;ADS-1026;Kola;İçecek;2;32,00;64,00;22,00;;Akşam;Hayır
2026-01-01 21:00;ADS-1027;Köfte;Ana Yemek;2;180,00;360,00;234,00;1;Akşam;Hayır
2026-01-01 21:00;ADS-1027;Ayran;İçecek;1;28,00;28,00;9,00;;Akşam;Hayır
2026-01-01 21:00;ADS-1027;Deniz Mahsulü Güveç;Ana Yemek;1;300,00;300,00;240,00;;Akşam;Hayır
2026-01-01 12:00;ADS-1028;Ayran;İçecek;2;20,00;40,00;18,00;2;Öğle;Hayır
2026-01-01 12:00;ADS-1028;Ayran;İçecek;2;20,00;40,00;18,00;;Öğle;Hayır
2026-01-01 21:00;ADS-1029;Mercimek Çorba;Başlangıç;2;60,00;120,00;40,00;3;Akşam;Hayır
2026-01-01 21:00;ADS-1029;Tavuk Şiş;Ana Yemek;1;220,00;220,00;66,00;;Akşam;Hayır
2026-01-01 20:00;ADS-1030;Ayran;İçecek;2;28,00;56,00;18,00;3;Akşam;Hayır
2026-01-02 19:00;ADS-1031;Sütlaç;Tatlı;2;75,00;150,00;52,00;3;Akşam;Hayır
2026-01-02 19:00;ADS-1031;Mercimek Çorba;Başlangıç;2;60,00;120,00;40,00;;Akşam;Hayır
2026-01-02 19:00;ADS-1031;Mevsim Salata;Başlangıç;2;95,00;190,00;66,00;;Akşam;Hayır
2026-01-02 19:00;ADS-1032;Tavuk Şiş;Ana Yemek;1;220,00;220,00;66,00;4;Akşam;Hayır
2026-01-02 19:00;ADS-1032;Ayran;İçecek;2;28,00;56,00;18,00;;Akşam;Hayır
2026-01-02 19:00;ADS-1033;Köfte;Ana Yemek;2;180,00;360,00;234,00;2;Akşam;Hayır
2026-01-02 12:00;ADS-1034;Izgara Balık;Ana Yemek;2;238,00;476,00;210,00;2;Öğle;Hayır
2026-01-02 12:00;ADS-1034;Tavuk Şiş;Ana Yemek;2;154,00;308,00;132,00;;Öğle;Hayır
2026-01-02 12:00;ADS-1034;Izgara Balık;Ana Yemek;1;238,00;238,00;105,00;;Öğle;Hayır
2026-01-02 13:00;ADS-1035;Ayran;İçecek;2;20,00;40,00;18,00;2;Öğle;Hayır
2026-01-02 13:00;ADS-1035;Ayran;İçecek;2;20,00;40,00;18,00;;Öğle;Hayır
2026-01-02 13:00;ADS-1035;Baklava;Tatlı;2;67,00;134,00;60,00;;Öğle;Hayır
2026-01-02 21:00;ADS-1036;Ayran;İçecek;2;28,00;56,00;18,00;3;Akşam;Hayır
2026-01-02 21:00;ADS-1036;Köfte;Ana Yemek;1;180,00;180,00;117,00;;Akşam;Hayır
2026-01-02 21:00;ADS-1036;Tavuk Şiş;Ana Yemek;2;220,00;440,00;132,00;;Akşam;Hayır
2026-01-02 21:00;ADS-1036;Ayran;İçecek;2;28,00;56,00;18,00;;Akşam;Hayır
2026-01-02 12:00;ADS-1037;Baklava;Tatlı;1;67,00;67,00;30,00;2;Öğle;Hayır
2026-01-02 12:00;ADS-1037;Izgara Balık;Ana Yemek;2;238,00;476,00;210,00;;Öğle;Hayır
2026-01-02 12:00;ADS-1037;Köfte;Ana Yemek;1;126,00;126,00;117,00;;Öğle;Hayır
2026-01-02 14:00;ADS-1038;Mercimek Çorba;Başlangıç;2;42,00;84,00;40,00;1;Öğle;Hayır
2026-01-02 14:00;ADS-1038;Mercimek Çorba;Başlangıç;2;42,00;84,00;40,00;;Öğle;Hayır
2026-01-02 14:00;ADS-1038;Deniz Mahsulü Güveç;Ana Yemek;2;210,00;420,00;480,00;;Öğle;Hayır
2026-01-02 14:00;ADS-1038;Mevsim Salata;Başlangıç;2;67,00;134,00;66,00;;Öğle;Hayır
2026-01-02 19:00;ADS-1039;Tavuk Şiş;Ana Yemek;2;220,00;440,00;132,00;1;Akşam;Hayır
2026-01-02 19:00;ADS-1039;Izgara Balık;Ana Yemek;1;340,00;340,00;105,00;;Akşam;Hayır
2026-01-02 21:00;ADS-1040;Ayran;İçecek;1;28,00;28,00;9,00;3;Akşam;Hayır
2026-01-02 21:00;ADS-1040;Tavuk Şiş;Ana Yemek;1;220,00;220,00;66,00;;Akşam;Hayır
2026-01-02 21:00;ADS-1040;Köfte;Ana Yemek;1;180,00;180,00;117,00;;Akşam;Hayır
2026-01-02 12:00;ADS-1041;Izgara Balık;Ana Yemek;1;238,00;238,00;105,00;3;Öğle;Hayır
2026-01-02 12:00;ADS-1041;Ayran;İçecek;2;20,00;40,00;18,00;;Öğle;Hayır
2026-01-02 21:00;ADS-1042;Ayran;İçecek;2;28,00;56,00;18,00;4;Akşam;Hayır
2026-01-02 21:00;ADS-1042;Kola;İçecek;2;32,00;64,00;22,00;;Akşam;Hayır
2026-01-02 12:00;ADS-1043;Ayran;İçecek;1;20,00;20,00;9,00;4;Öğle;Hayır
2026-01-02 12:00;ADS-1043;Mevsim Salata;Başlangıç;1;67,00;67,00;33,00;;Öğle;Hayır
2026-01-02 21:00;ADS-1044;Mevsim Salata;Başlangıç;1;95,00;95,00;33,00;2;Akşam;Hayır
2026-01-02 13:00;ADS-1045;Ayran;İçecek;2;20,00;40,00;18,00;1;Öğle;Hayır
2026-01-02 13:00;ADS-1045;Ayran;İçecek;2;20,00;40,00;18,00;;Öğle;Hayır
2026-01-02 13:00;ADS-1045;Kola;İçecek;2;22,00;44,00;22,00;;Öğle;Hayır
2026-01-02 20:00;ADS-1046;Mercimek Çorba;Başlangıç;1;60,00;60,00;20,00;4;Akşam;Hayır
2026-01-02 20:00;ADS-1046;Mercimek Çorba;Başlangıç;2;60,00;120,00;40,00;;Akşam;Hayır
2026-01-02 20:00;ADS-1046;Izgara Balık;Ana Yemek;2;340,00;680,00;210,00;;Akşam;Hayır
2026-01-02 20:00;ADS-1046;Baklava;Tatlı;2;95,00;190,00;60,00;;Akşam;Hayır
2026-01-02 19:00;ADS-1047;Köfte;Ana Yemek;1;180,00;180,00;117,00;4;Akşam;Hayır
2026-01-02 19:00;ADS-1047;Ayran;İçecek;2;28,00;56,00;18,00;;Akşam;Hayır
2026-01-02 19:00;ADS-1047;Kola;İçecek;2;32,00;64,00;22,00;;Akşam;Hayır
2026-01-02 19:00;ADS-1047;Baklava;Tatlı;1;95,00;95,00;30,00;;Akşam;Hayır
2026-01-02 20:00;ADS-1048;Baklava;Tatlı;2;95,00;190,00;60,00;2;Akşam;Hayır
2026-01-02 20:00;ADS-1048;Köfte;Ana Yemek;2;180,00;360,00;234,00;;Akşam;Hayır
2026-01-02 20:00;ADS-1048;Ayran;İçecek;1;28,00;28,00;9,00;;Akşam;Hayır
2026-01-02 14:00;ADS-1049;Mercimek Çorba;Başlangıç;2;42,00;84,00;40,00;1;Öğle;Hayır
2026-01-02 19:00;ADS-1050;Köfte;Ana Yemek;2;180,00;360,00;234,00;3;Akşam;Hayır
2026-01-02 19:00;ADS-1050;Sütlaç;Tatlı;1;75,00;75,00;26,00;;Akşam;Hayır
2026-01-02 19:00;ADS-1050;Mevsim Salata;Başlangıç;1;95,00;95,00;33,00;;Akşam;Hayır
2026-01-02 19:00;ADS-1051;Sütlaç;Tatlı;2;75,00;150,00;52,00;1;Akşam;Hayır
2026-01-02 19:00;ADS-1051;Sütlaç;Tatlı;1;75,00;75,00;26,00;;Akşam;Hayır
2026-01-02 12:00;ADS-1052;Kola;İçecek;1;22,00;22,00;11,00;3;Öğle;Hayır
2026-01-02 12:00;ADS-1052;Köfte;Ana Yemek;1;126,00;126,00;117,00;;Öğle;Hayır
2026-01-02 12:00;ADS-1052;Kola;İçecek;1;22,00;22,00;11,00;;Öğle;Hayır
2026-01-02 20:00;ADS-1053;Mercimek Çorba;Başlangıç;1;60,00;60,00;20,00;4;Akşam;Hayır
2026-01-02 20:00;ADS-1053;Ayran;İçecek;1;28,00;28,00;9,00;;Akşam;Hayır
2026-01-02 20:00;ADS-1053;Ayran;İçecek;2;28,00;56,00;18,00;;Akşam;Hayır
2026-01-02 20:00;ADS-1053;Mercimek Çorba;Başlangıç;2;60,00;120,00;40,00;;Akşam;Hayır
2026-01-02 19:00;ADS-1054;Ayran;İçecek;1;28,00;28,00;9,00;1;Akşam;Hayır
2026-01-02 19:00;ADS-1054;Baklava;Tatlı;2;95,00;190,00;60,00;;Akşam;Hayır
2026-01-02 19:00;ADS-1054;Köfte;Ana Yemek;1;180,00;180,00;117,00;;Akşam;Hayır
2026-01-02 19:00;ADS-1054;Ayran;İçecek;2;28,00;56,00;18,00;;Akşam;Hayır
2026-01-02 19:00;ADS-1055;Mercimek Çorba;Başlangıç;1;60,00;60,00;20,00;2;Akşam;Hayır
2026-01-02 13:00;ADS-1056;Kola;İçecek;2;22,00;44,00;22,00;2;Öğle;Hayır
2026-01-02 13:00;ADS-1056;Kola;İçecek;2;22,00;44,00;22,00;;Öğle;Hayır
2026-01-02 13:00;ADS-1056;Ayran;İçecek;1;20,00;20,00;9,00;;Öğle;Hayır
2026-01-02 21:00;ADS-1057;Mercimek Çorba;Başlangıç;1;60,00;60,00;20,00;2;Akşam;Hayır
2026-01-02 19:00;ADS-1058;Tavuk Şiş;Ana Yemek;2;220,00;440,00;132,00;1;Akşam;Hayır
2026-01-02 19:00;ADS-1058;Izgara Balık;Ana Yemek;2;340,00;680,00;210,00;;Akşam;Hayır
2026-01-02 13:00;ADS-1059;Ayran;İçecek;1;20,00;20,00;9,00;3;Öğle;Hayır
2026-01-02 13:00;ADS-1059;Kola;İçecek;2;22,00;44,00;22,00;;Öğle;Evet
2026-01-02 13:00;ADS-1059;Mercimek Çorba;Başlangıç;1;42,00;42,00;20,00;;Öğle;Hayır
2026-01-02 13:00;ADS-1059;Köfte;Ana Yemek;1;126,00;126,00;117,00;;Öğle;Hayır
2026-01-02 12:00;ADS-1060;Mercimek Çorba;Başlangıç;2;42,00;84,00;40,00;3;Öğle;Hayır
2026-01-02 12:00;ADS-1060;Izgara Balık;Ana Yemek;1;238,00;238,00;105,00;;Öğle;Hayır
2026-01-02 12:00;ADS-1060;Mercimek Çorba;Başlangıç;2;42,00;84,00;40,00;;Öğle;Hayır
2026-01-02 12:00;ADS-1060;Mercimek Çorba;Başlangıç;2;42,00;84,00;40,00;;Öğle;Hayır
2026-01-02 20:00;ADS-1061;Köfte;Ana Yemek;1;180,00;180,00;117,00;1;Akşam;Hayır
2026-01-02 20:00;ADS-1061;Mevsim Salata;Başlangıç;1;95,00;95,00;33,00;;Akşam;Hayır
2026-01-02 20:00;ADS-1061;Kola;İçecek;2;32,00;64,00;22,00;;Akşam;Hayır
2026-01-02 21:00;ADS-1062;Mercimek Çorba;Başlangıç;2;60,00;120,00;40,00;2;Akşam;Hayır
2026-01-02 21:00;ADS-1062;Köfte;Ana Yemek;2;180,00;360,00;234,00;;Akşam;Hayır
2026-01-02 21:00;ADS-1062;Köfte;Ana Yemek;1;180,00;180,00;117,00;;Akşam;Hayır
2026-01-02 21:00;ADS-1062;Ayran;İçecek;1;28,00;28,00;9,00;;Akşam;Hayır
2026-01-02 13:00;ADS-1063;Köfte;Ana Yemek;2;126,00;252,00;234,00;1;Öğle;Hayır
2026-01-02 13:00;ADS-1064;Mercimek Çorba;Başlangıç;1;42,00;42,00;20,00;3;Öğle;Hayır
2026-01-02 13:00;ADS-1064;Kola;İçecek;1;22,00;22,00;11,00;;Öğle;Hayır
2026-01-02 20:00;ADS-1065;Izgara Balık;Ana Yemek;2;340,00;680,00;210,00;4;Akşam;Hayır
2026-01-02 20:00;ADS-1065;Sütlaç;Tatlı;2;75,00;150,00;52,00;;Akşam;Hayır
2026-01-02 20:00;ADS-1065;Baklava;Tatlı;1;95,00;95,00;30,00;;Akşam;Evet
2026-01-02 20:00;ADS-1065;Ayran;İçecek;2;28,00;56,00;18,00;;Akşam;Hayır
2026-01-02 13:00;ADS-1066;Deniz Mahsulü Güveç;Ana Yemek;1;210,00;210,00;240,00;3;Öğle;Hayır
2026-01-02 13:00;ADS-1066;Kola;İçecek;2;22,00;44,00;22,00;;Öğle;Hayır
2026-01-03 19:00;ADS-1067;Izgara Balık;Ana Yemek;2;340,00;680,00;210,00;1;Akşam;Hayır
2026-01-03 19:00;ADS-1067;Köfte;Ana Yemek;2;180,00;360,00;234,00;;Akşam;Hayır
2026-01-03 19:00;ADS-1067;Kola;İçecek;2;32,00;64,00;22,00;;Akşam;Hayır
2026-01-03 21:00;ADS-1068;Mercimek Çorba;Başlangıç;1;60,00;60,00;20,00;2;Akşam;Hayır
2026-01-03 21:00;ADS-1068;Mercimek Çorba;Başlangıç;1;60,00;60,00;20,00;;Akşam;Hayır
2026-01-03 21:00;ADS-1068;Baklava;Tatlı;2;95,00;190,00;60,00;;Akşam;Hayır
2026-01-03 14:00;ADS-1069;Mevsim Salata;Başlangıç;1;67,00;67,00;33,00;4;Öğle;Hayır
2026-01-03 14:00;ADS-1070;Mercimek Çorba;Başlangıç;2;42,00;84,00;40,00;2;Öğle;Hayır
2026-01-03 14:00;ADS-1070;Mercimek Çorba;Başlangıç;2;42,00;84,00;40,00;;Öğle;Hayır
2026-01-03 14:00;ADS-1070;Kola;İçecek;1;22,00;22,00;11,00;;Öğle;Hayır
2026-01-03 14:00;ADS-1070;Izgara Balık;Ana Yemek;1;238,00;238,00;105,00;;Öğle;Hayır
2026-01-03 12:00;ADS-1071;Baklava;Tatlı;2;67,00;134,00;60,00;3;Öğle;Hayır
2026-01-03 12:00;ADS-1071;Baklava;Tatlı;1;67,00;67,00;30,00;;Öğle;Hayır
2026-01-03 12:00;ADS-1071;Ayran;İçecek;1;20,00;20,00;9,00;;Öğle;Hayır
2026-01-03 12:00;ADS-1071;Kola;İçecek;2;22,00;44,00;22,00;;Öğle;Hayır
2026-01-03 20:00;ADS-1072;Mercimek Çorba;Başlangıç;2;60,00;120,00;40,00;4;Akşam;Hayır
2026-01-03 20:00;ADS-1072;Baklava;Tatlı;1;95,00;95,00;30,00;;Akşam;Hayır
2026-01-03 20:00;ADS-1072;Ayran;İçecek;2;28,00;56,00;18,00;;Akşam;Hayır
2026-01-03 21:00;ADS-1073;Mercimek Çorba;Başlangıç;1;60,00;60,00;20,00;2;Akşam;Hayır
2026-01-03 21:00;ADS-1073;Izgara Balık;Ana Yemek;2;340,00;680,00;210,00;;Akşam;Hayır
2026-01-03 13:00;ADS-1074;Mevsim Salata;Başlangıç;2;67,00;134,00;66,00;1;Öğle;Hayır
2026-01-03 13:00;ADS-1074;Ayran;İçecek;2;20,00;40,00;18,00;;Öğle;Hayır
2026-01-03 21:00;ADS-1075;Köfte;Ana Yemek;1;180,00;180,00;117,00;4;Akşam;Hayır
2026-01-03 21:00;ADS-1075;Mevsim Salata;Başlangıç;2;95,00;190,00;66,00;;Akşam;Hayır
2026-01-03 19:00;ADS-1076;Köfte;Ana Yemek;1;180,00;180,00;117,00;2;Akşam;Hayır
2026-01-03 19:00;ADS-1076;Köfte;Ana Yemek;1;180,00;180,00;117,00;;Akşam;Hayır
2026-01-03 19:00;ADS-1076;Köfte;Ana Yemek;2;180,00;360,00;234,00;;Akşam;Hayır
2026-01-03 12:00;ADS-1077;Tavuk Şiş;Ana Yemek;1;154,00;154,00;66,00;3;Öğle;Hayır
2026-01-03 12:00;ADS-1077;Köfte;Ana Yemek;1;126,00;126,00;117,00;;Öğle;Hayır
2026-01-03 12:00;ADS-1077;Sütlaç;Tatlı;2;53,00;106,00;52,00;;Öğle;Hayır
2026-01-03 19:00;ADS-1078;Izgara Balık;Ana Yemek;2;340,00;680,00;210,00;3;Akşam;Hayır
2026-01-03 19:00;ADS-1078;Tavuk Şiş;Ana Yemek;2;220,00;440,00;132,00;;Akşam;Hayır
2026-01-03 19:00;ADS-1078;Kola;İçecek;2;32,00;64,00;22,00;;Akşam;Hayır
2026-01-03 19:00;ADS-1078;Köfte;Ana Yemek;1;180,00;180,00;117,00;;Akşam;Hayır
2026-01-03 19:00;ADS-1079;Tavuk Şiş;Ana Yemek;1;220,00;220,00;66,00;1;Akşam;Hayır
2026-01-03 19:00;ADS-1079;Köfte;Ana Yemek;2;180,00;360,00;234,00;;Akşam;Hayır
2026-01-03 19:00;ADS-1079;Baklava;Tatlı;2;95,00;190,00;60,00;;Akşam;Hayır
2026-01-03 19:00;ADS-1079;Ayran;İçecek;1;28,00;28,00;9,00;;Akşam;Hayır
2026-01-03 21:00;ADS-1080;Baklava;Tatlı;1;95,00;95,00;30,00;2;Akşam;Hayır
2026-01-03 21:00;ADS-1080;Kola;İçecek;1;32,00;32,00;11,00;;Akşam;Hayır
2026-01-03 14:00;ADS-1081;Köfte;Ana Yemek;1;126,00;126,00;117,00;2;Öğle;Hayır
2026-01-03 20:00;ADS-1082;Ayran;İçecek;1;28,00;28,00;9,00;1;Akşam;Hayır
2026-01-03 20:00;ADS-1082;Izgara Balık;Ana Yemek;2;340,00;680,00;210,00;;Akşam;Hayır
2026-01-03 20:00;ADS-1082;Köfte;Ana Yemek;2;180,00;360,00;234,00;;Akşam;Hayır
2026-01-03 20:00;ADS-1083;Kola;İçecek;2;32,00;64,00;22,00;4;Akşam;Hayır
2026-01-03 20:00;ADS-1083;Köfte;Ana Yemek;2;180,00;360,00;234,00;;Akşam;Hayır
2026-01-03 20:00;ADS-1083;Tavuk Şiş;Ana Yemek;2;220,00;440,00;132,00;;Akşam;Hayır
2026-01-03 21:00;ADS-1084;Köfte;Ana Yemek;1;180,00;180,00;117,00;4;Akşam;Hayır
2026-01-03 20:00;ADS-1085;Baklava;Tatlı;2;95,00;190,00;60,00;2;Akşam;Hayır
2026-01-03 20:00;ADS-1085;Ayran;İçecek;2;28,00;56,00;18,00;;Akşam;Hayır
2026-01-03 20:00;ADS-1085;Izgara Balık;Ana Yemek;2;340,00;680,00;210,00;;Akşam;Hayır
2026-01-03 14:00;ADS-1086;Mercimek Çorba;Başlangıç;1;42,00;42,00;20,00;4;Öğle;Hayır
2026-01-03 14:00;ADS-1086;Mercimek Çorba;Başlangıç;1;42,00;42,00;20,00;;Öğle;Hayır
2026-01-03 14:00;ADS-1087;Kola;İçecek;1;22,00;22,00;11,00;2;Öğle;Hayır
2026-01-03 14:00;ADS-1087;Izgara Balık;Ana Yemek;1;238,00;238,00;105,00;;Öğle;Hayır
2026-01-03 14:00;ADS-1087;Köfte;Ana Yemek;2;126,00;252,00;234,00;;Öğle;Hayır
2026-01-03 19:00;ADS-1088;Köfte;Ana Yemek;1;180,00;180,00;117,00;4;Akşam;Hayır
2026-01-03 19:00;ADS-1088;Tavuk Şiş;Ana Yemek;1;220,00;220,00;66,00;;Akşam;Hayır
2026-01-03 14:00;ADS-1089;Ayran;İçecek;2;20,00;40,00;18,00;4;Öğle;Hayır
2026-01-03 14:00;ADS-1089;Tavuk Şiş;Ana Yemek;2;154,00;308,00;132,00;;Öğle;Evet
2026-01-03 13:00;ADS-1090;Tavuk Şiş;Ana Yemek;2;154,00;308,00;132,00;2;Öğle;Hayır
2026-01-03 19:00;ADS-1091;Ayran;İçecek;2;28,00;56,00;18,00;3;Akşam;Hayır
2026-01-03 19:00;ADS-1091;Tavuk Şiş;Ana Yemek;1;220,00;220,00;66,00;;Akşam;Hayır
2026-01-03 14:00;ADS-1092;Mevsim Salata;Başlangıç;1;67,00;67,00;33,00;3;Öğle;Hayır
2026-01-03 14:00;ADS-1092;Ayran;İçecek;1;20,00;20,00;9,00;;Öğle;Hayır
2026-01-03 14:00;ADS-1092;Ayran;İçecek;1;20,00;20,00;9,00;;Öğle;Hayır
2026-01-03 13:00;ADS-1093;Tavuk Şiş;Ana Yemek;2;154,00;308,00;132,00;4;Öğle;Hayır
2026-01-03 13:00;ADS-1093;Mercimek Çorba;Başlangıç;1;42,00;42,00;20,00;;Öğle;Hayır
2026-01-03 13:00;ADS-1093;Ayran;İçecek;2;20,00;40,00;18,00;;Öğle;Hayır
2026-01-03 13:00;ADS-1093;Ayran;İçecek;2;20,00;40,00;18,00;;Öğle;Hayır
2026-01-03 14:00;ADS-1094;Ayran;İçecek;2;20,00;40,00;18,00;4;Öğle;Hayır
2026-01-03 14:00;ADS-1094;Köfte;Ana Yemek;2;126,00;252,00;234,00;;Öğle;Hayır
