Tarih;SKU;Ürün;Kategori;Adet;Birim Fiyat;Ciro;Maliyet;İskonto;İade;Kanal;Müşteri No
2026-01-01;AYK-002;Ayakkabı 2;Ayakkabı;3;930,00;2783,50;1674,00;6,50;Hayır;Pazaryeri;MUS-0058
2026-01-01;GIY-002;Giyim Ürünü 2;Giyim;2;389,00;743,09;427,90;34,91;Hayır;Mağaza;MUS-0241
2026-01-01;AYK-005;Ayakkabı 5;Ayakkabı;1;845,00;822,28;507,00;22,72;Hayır;Mağaza;MUS-0192
2026-01-02;GIY-002;Giyim Ürünü 2;Giyim;1;518,00;504,52;284,90;13,48;Hayır;Web;MUS-0060
2026-01-02;ELK-001;Elektronik 1;Elektronik;1;1021,00;995,33;816,80;25,67;Hayır;Mağaza;MUS-0073
2026-01-02;AKS-004;Aksesuar 4;Aksesuar;3;294,00;855,19;396,90;26,81;Hayır;Mağaza;MUS-0054
2026-01-02;EVT-005;Ev Tekstili 5;Ev Tekstili;3;460,00;1321,97;690,00;58,03;Hayır;Web;MUS-0217
2026-01-02;ELK-002;Elektronik 2;Elektronik;2;5919,00;11640,63;9470,40;197,37;Hayır;Mağaza;MUS-0301
2026-01-02;ELK-001;Elektronik 1;Elektronik;1;1680,00;1580,06;1344,00;99,94;Hayır;Mağaza;MUS-0237
2026-01-02;ELK-005;Elektronik 5;Elektronik;2;5152,00;9486,72;8243,20;817,28;Hayır;Pazaryeri;MUS-0210
2026-01-02;AYK-005;Ayakkabı 5;Ayakkabı;3;684,00;1978,64;1231,20;73,36;Hayır;Pazaryeri;MUS-0220
2026-01-02;AYK-001;Ayakkabı 1;Ayakkabı;2;322,00;600,48;386,40;43,52;Hayır;Web;MUS-0227
2026-01-02;ELK-005;Elektronik 5;Elektronik;2;4479,00;8272,93;7166,40;685,07;Hayır;Web;MUS-0096
2026-01-02;GIY-002;Giyim Ürünü 2;Giyim;2;463,00;922,47;509,30;3,53;Hayır;Pazaryeri;MUS-0278
2026-01-02;ELK-004;Elektronik 4;Elektronik;2;3106,00;6114,63;4969,60;97,37;Hayır;Mağaza;MUS-0161
2026-01-02;AYK-002;Ayakkabı 2;Ayakkabı;1;855,00;832,30;513,00;22,70;Hayır;Web;MUS-0186
2026-01-02;AKS-003;Aksesuar 3;Aksesuar;1;51,00;48,36;22,95;2,64;Hayır;Web;MUS-0331
2026-01-02;GIY-003;Giyim Ürünü 3;Giyim;2;204,00;379,58;224,40;28,42;Hayır;Pazaryeri;MUS-0020
2026-01-02;AYK-004;Ayakkabı 4;Ayakkabı;2;404,00;793,15;484,80;14,85;Hayır;Pazaryeri;MUS-0263
2026-01-02;ELK-003;Elektronik 3;Elektronik;3;3541,00;9946,20;8498,40;676,80;Hayır;Web;MUS-0028
2026-01-02;GIY-002;Giyim Ürünü 2;Giyim;3;518,00;1546,59;854,70;7,41;Hayır;Mağaza;MUS-0342
2026-01-02;GIY-002;Giyim Ürünü 2;Giyim;1;608,00;588,70;334,40;19,30;Hayır;Mağaza;MUS-0072
2026-01-02;EVT-002;Ev Tekstili 2;Ev Tekstili;2;788,00;1455,96;788,00;120,04;Hayır;Pazaryeri;MUS-0240
2026-01-02;AKS-002;Aksesuar 2;Aksesuar;2;275,00;514,36;247,50;35,64;Hayır;Mağaza;MUS-0241
2026-01-02;AKS-005;Aksesuar 5;Aksesuar;3;280,00;803,31;378,00;36,69;Hayır;Web;MUS-0222
2026-01-03;EVT-005;Ev Tekstili 5;Ev Tekstili;1;804,00;779,12;402,00;24,88;Hayır;Mağaza;MUS-0119
2026-01-03;AKS-004;Aksesuar 4;Aksesuar;3;257,00;719,39;346,95;51,61;Hayır;Web;MUS-0101
2026-01-03;EVT-002;Ev Tekstili 2;Ev Tekstili;2;717,00;1378,17;717,00;55,83;Hayır;Pazaryeri;MUS-0251
2026-01-03;GIY-005;Giyim Ürünü 5;Giyim;2;409,00;762,59;449,90;55,41;Hayır;Web;MUS-0175
2026-01-03;EVT-003;Ev Tekstili 3;Ev Tekstili;2;593,00;1121,93;593,00;64,07;Hayır;Pazaryeri;MUS-0182
2026-01-03;GIY-001;Giyim Ürünü 1;Giyim;1;356,00;351,23;195,80;4,77;Hayır;Pazaryeri;MUS-0294
2026-01-03;ELK-001;Elektronik 1;Elektronik;1;4440,00;4409,90;3552,00;30,10;Hayır;Web;MUS-0300
2026-01-03;ELK-005;Elektronik 5;Elektronik;2;1319,00;2446,18;2110,40;191,82;Hayır;Mağaza;MUS-0084
2026-01-03;AKS-002;Aksesuar 2;Aksesuar;3;206,00;604,22;278,10;13,78;Hayır;Mağaza;MUS-0208
2026-01-03;GIY-004;Giyim Ürünü 4;Giyim;3;214,00;601,84;353,10;40,16;Hayır;Web;MUS-0012
2026-01-03;AYK-002;Ayakkabı 2;Ayakkabı;3;939,00;2762,88;1690,20;54,12;Hayır;Pazaryeri;MUS-0120
2026-01-03;ELK-004;Elektronik 4;Elektronik;3;2755,00;8243,79;6612,00;21,21;Hayır;Web;MUS-0275
2026-01-03;AKS-001;Aksesuar 1;Aksesuar;3;179,00;531,07;241,65;5,93;Hayır;Pazaryeri;MUS-0278
2026-01-03;AKS-001;Aksesuar 1;Aksesuar;1;216,00;199,56;97,20;16,44;Hayır;Pazaryeri;MUS-0073
2026-01-03;ELK-001;Elektronik 1;Elektronik;2;3934,00;7716,12;6294,40;151,88;Hayır;Mağaza;MUS-0072
2026-01-03;EVT-004;Ev Tekstili 4;Ev Tekstili;1;866,00;829,85;433,00;36,15;Hayır;Mağaza;MUS-0100
2026-01-03;GIY-004;Giyim Ürünü 4;Giyim;3;288,00;841,45;475,20;22,55;Hayır;Pazaryeri;MUS-0160
2026-01-03;GIY-003;Giyim Ürünü 3;Giyim;1;619,00;587,18;340,45;31,82;Hayır;Web;MUS-0048
2026-01-03;EVT-003;Ev Tekstili 3;Ev Tekstili;2;596,00;1171,82;596,00;20,18;Hayır;Mağaza;MUS-0236
2026-01-03;GIY-005;Giyim Ürünü 5;Giyim;2;263,00;484,80;289,30;41,20;Hayır;Mağaza;MUS-0267
2026-01-03;AKS-002;Aksesuar 2;Aksesuar;2;60,00;115,34;54,00;4,66;Hayır;Pazaryeri;MUS-0128
2026-01-03;AYK-003;Ayakkabı 3;Ayakkabı;1;1032,00;1011,23;619,20;20,77;Hayır;Web;MUS-0316
2026-01-03;ELK-005;Elektronik 5;Elektronik;1;3851,00;3648,31;3080,80;202,69;Hayır;Mağaza;MUS-0169
2026-01-04;AKS-003;Aksesuar 3;Aksesuar;1;262,00;252,56;117,90;9,44;Hayır;Web;MUS-0242
2026-01-04;GIY-004;Giyim Ürünü 4;Giyim;3;303,00;882,17;499,95;26,83;Hayır;Mağaza;MUS-0316
2026-01-04;AKS-003;Aksesuar 3;Aksesuar;2;183,00;364,66;164,70;1,34;Hayır;Mağaza;MUS-0264
2026-01-04;GIY-003;Giyim Ürünü 3;Giyim;3;608,00;1719,69;1003,20;104,31;Hayır;Mağaza;MUS-0003
2026-01-04;EVT-003;Ev Tekstili 3;Ev Tekstili;2;646,00;1285,57;646,00;6,43;Hayır;Mağaza;MUS-0214
2026-01-04;ELK-005;Elektronik 5;Elektronik;3;5829,00;16557,69;13989,60;929,31;Hayır;Pazaryeri;MUS-0336
2026-01-04;ELK-001;Elektronik 1;Elektronik;3;981,00;2905,49;2354,40;37,51;Hayır;Mağaza;MUS-0307
2026-01-04;ELK-002;Elektronik 2;Elektronik;3;3160,00;8891,41;7584,00;588,59;Hayır;Pazaryeri;MUS-0230
2026-01-04;GIY-002;Giyim Ürünü 2;Giyim;3;178,00;527,33;293,70;6,67;Hayır;Web;MUS-0084
2026-01-04;ELK-004;Elektronik 4;Elektronik;3;2930,00;8526,81;7032,00;263,19;Hayır;Pazaryeri;MUS-0259
2026-01-04;GIY-005;Giyim Ürünü 5;Giyim;1;476,00;449,95;261,80;26,05;Hayır;Pazaryeri;MUS-0164
2026-01-04;AYK-004;Ayakkabı 4;Ayakkabı;1;811,00;756,37;486,60;54,63;Hayır;Mağaza;MUS-0349
2026-01-04;GIY-001;Giyim Ürünü 1;Giyim;2;588,00;1120,06;646,80;55,94;Hayır;Mağaza;MUS-0209
2026-01-04;ELK-003;Elektronik 3;Elektronik;1;5878,00;5693,71;4702,40;184,29;Hayır;Web;MUS-0238
2026-01-04;ELK-003;Elektronik 3;Elektronik;2;5460,00;10424,88;8736,00;495,12;Hayır;Pazaryeri;MUS-0001
2026-01-04;GIY-005;Giyim Ürünü 5;Giyim;1;169,00;167,71;92,95;1,29;Hayır;Mağaza;MUS-0021
2026-01-04;ELK-001;Elektronik 1;Elektronik;2;5095,00;9673,14;8152,00;516,86;Hayır;Mağaza;MUS-0070
2026-01-04;ELK-001;Elektronik 1;Elektronik;2;3866,00;7328,29;6185,60;403,71;Hayır;Pazaryeri;MUS-0204
2026-01-04;AYK-003;Ayakkabı 3;Ayakkabı;2;514,00;979,63;616,80;48,37;Hayır;Web;MUS-0248
2026-01-04;ELK-005;Elektronik 5;Elektronik;3;3041,00;8917,23;7298,40;205,77;Hayır;Mağaza;MUS-0119
2026-01-04;ELK-005;Elektronik 5;Elektronik;3;2585,00;7147,73;6204,00;607,27;Hayır;Pazaryeri;MUS-0178
2026-01-04;EVT-001;Ev Tekstili 1;Ev Tekstili;1;886,00;869,46;443,00;16,54;Hayır;Mağaza;MUS-0342
2026-01-05;ELK-005;Elektronik 5;Elektronik;1;5809,00;5528,55;4647,20;280,45;Hayır;Web;MUS-0332
2026-01-05;AYK-002;Ayakkabı 2;Ayakkabı;1;617,00;591,70;370,20;25,30;Hayır;Pazaryeri;MUS-0220
2026-01-05;AYK-002;Ayakkabı 2;Ayakkabı;2;494,00;947,65;592,80;40,35;Hayır;Mağaza;MUS-0315
2026-01-05;ELK-005;Elektronik 5;Elektronik;2;5242,00;10030,64;8387,20;453,36;Hayır;Mağaza;MUS-0221
2026-01-05;AKS-004;Aksesuar 4;Aksesuar;2;173,00;329,72;155,70;16,28;Hayır;Web;MUS-0002
2026-01-05;ELK-002;Elektronik 2;Elektronik;1;1451,00;1406,64;1160,80;44,36;Hayır;Mağaza;MUS-0099
2026-01-05;GIY-004;Giyim Ürünü 4;Giyim;1;540,00;520,15;297,00;19,85;Hayır;Web;MUS-0098
2026-01-05;ELK-002;Elektronik 2;Elektronik;2;3233,00;6290,02;5172,80;175,98;Hayır;Pazaryeri;MUS-0030
2026-01-05;GIY-005;Giyim Ürünü 5;Giyim;3;674,00;1966,07;1112,10;55,93;Hayır;Mağaza;MUS-0061
2026-01-05;ELK-004;Elektronik 4;Elektronik;3;2907,00;8293,97;6976,80;427,03;Hayır;Mağaza;MUS-0057
2026-01-05;EVT-001;Ev Tekstili 1;Ev Tekstili;1;786,00;749,95;393,00;36,05;Hayır;Web;MUS-0188
2026-01-05;AKS-005;Aksesuar 5;Aksesuar;2;253,00;481,79;227,70;24,21;Hayır;Mağaza;MUS-0316
2026-01-05;EVT-002;Ev Tekstili 2;Ev Tekstili;3;410,00;1221,34;615,00;8,66;Hayır;Pazaryeri;MUS-0188
2026-01-05;AYK-002;Ayakkabı 2;Ayakkabı;2;1009,00;1965,62;1210,80;52,38;Hayır;Pazaryeri;MUS-0309
2026-01-05;GIY-003;Giyim Ürünü 3;Giyim;2;551,00;1050,01;606,10;51,99;Hayır;Mağaza;MUS-0144
2026-01-05;EVT-003;Ev Tekstili 3;Ev Tekstili;1;224,00;220,03;112,00;3,97;Hayır;Web;MUS-0043
2026-01-05;AYK-003;Ayakkabı 3;Ayakkabı;2;717,00;1346,16;860,40;87,84;Hayır;Pazaryeri;MUS-0255
2026-01-05;AYK-004;Ayakkabı 4;Ayakkabı;1;943,00;916,71;565,80;26,29;Hayır;Web;MUS-0040
2026-01-06;AYK-005;Ayakkabı 5;Ayakkabı;1;1128,00;1117,36;676,80;10,64;Hayır;Mağaza;MUS-0023
2026-01-06;ELK-001;Elektronik 1;Elektronik;3;1942,00;5417,69;4660,80;408,31;Hayır;Pazaryeri;MUS-0158
2026-01-06;AYK-002;Ayakkabı 2;Ayakkabı;1;721,00;719,79;432,60;1,21;Hayır;Mağaza;MUS-0141
2026-01-06;GIY-004;Giyim Ürünü 4;Giyim;1;218,00;201,22;119,90;16,78;Hayır;Web;MUS-0242
2026-01-06;ELK-005;Elektronik 5;Elektronik;3;2079,00;5750,09;4989,60;486,91;Hayır;Pazaryeri;MUS-0179
2026-01-06;ELK-001;Elektronik 1;Elektronik;3;5522,00;16286,05;13252,80;279,95;Hayır;Pazaryeri;MUS-0080
2026-01-06;GIY-005;Giyim Ürünü 5;Giyim;3;498,00;1492,71;821,70;1,29;Hayır;Web;MUS-0223
2026-01-06;ELK-001;Elektronik 1;Elektronik;3;1977,00;5554,43;4744,80;376,57;Hayır;Mağaza;MUS-0130
2026-01-06;GIY-005;Giyim Ürünü 5;Giyim;3;456,00;1337,98;752,40;30,02;Hayır;Web;MUS-0012
2026-01-06;ELK-005;Elektronik 5;Elektronik;2;5753,00;11469,57;9204,80;36,43;Hayır;Pazaryeri;MUS-0269
2026-01-06;GIY-002;Giyim Ürünü 2;Giyim;1;501,00;486,56;275,55;14,44;Hayır;Mağaza;MUS-0211
2026-01-06;ELK-001;Elektronik 1;Elektronik;3;4360,00;12461,98;10464,00;618,02;Hayır;Mağaza;MUS-0147
2026-01-06;ELK-003;Elektronik 3;Elektronik;1;5681,00;5579,03;4544,80;101,97;Hayır;Web;MUS-0081
2026-01-06;ELK-003;Elektronik 3;Elektronik;2;2908,00;5532,72;4652,80;283,28;Hayır;Mağaza;MUS-0151
2026-01-06;ELK-004;Elektronik 4;Elektronik;2;4172,00;8290,21;6675,20;53,79;Hayır;Pazaryeri;MUS-0300
2026-01-06;AKS-001;Aksesuar 1;Aksesuar;2;246,00;461,37;221,40;30,63;Hayır;Mağaza;MUS-0069
2026-01-06;EVT-003;Ev Tekstili 3;Ev Tekstili;3;825,00;2292,43;1237,50;182,57;Hayır;Web;MUS-0174
2026-01-06;EVT-003;Ev Tekstili 3;Ev Tekstili;3;375,00;1100,62;562,50;24,38;Hayır;Pazaryeri;MUS-0125
2026-01-06;EVT-005;Ev Tekstili 5;Ev Tekstili;3;468,00;1397,05;702,00;6,95;Hayır;Web;MUS-0094
2026-01-06;AYK-002;Ayakkabı 2;Ayakkabı;1;1080,00;1056,69;648,00;23,31;Hayır;Web;MUS-0091
2026-01-06;GIY-001;Giyim Ürünü 1;Giyim;3;452,00;1269,49;745,80;86,51;Hayır;Mağaza;MUS-0118
2026-01-06;ELK-002;Elektronik 2;Elektronik;3;5338,00;15256,53;12811,20;757,47;Hayır;Pazaryeri;MUS-0234
2026-01-06;AKS-003;Aksesuar 3;Aksesuar;3;140,00;407,65;189,00;12,35;Hayır;Mağaza;MUS-0144
2026-01-06;AYK-002;Ayakkabı 2;Ayakkabı;1;1009,00;954,15;605,40;54,85;Hayır;Pazaryeri;MUS-0197
2026-01-07;EVT-003;Ev Tekstili 3;Ev Tekstili;2;411,00;762,44;411,00;59,56;Hayır;Pazaryeri;MUS-0089
2026-01-07;GIY-001;Giyim Ürünü 1;Giyim;1;550,00;523,34;302,50;26,66;Hayır;Web;MUS-0084
2026-01-07;GIY-005;Giyim Ürünü 5;Giyim;2;544,00;1054,66;598,40;33,34;Hayır;Pazaryeri;MUS-0284
2026-01-07;GIY-002;Giyim Ürünü 2;Giyim;1;182,00;169,99;100,10;12,01;Hayır;Pazaryeri;MUS-0264
2026-01-07;EVT-002;Ev Tekstili 2;Ev Tekstili;2;609,00;1170,32;609,00;47,68;Hayır;Web;MUS-0313
2026-01-07;ELK-004;Elektronik 4;Elektronik;2;5547,00;10537,28;8875,20;556,72;Hayır;Mağaza;MUS-0336
2026-01-07;ELK-005;Elektronik 5;Elektronik;3;5143,00;15322,73;12343,20;106,27;Hayır;Web;MUS-0042
2026-01-07;ELK-003;Elektronik 3;Elektronik;3;2930,00;8514,23;7032,00;275,77;Hayır;Mağaza;MUS-0188
2026-01-07;GIY-005;Giyim Ürünü 5;Giyim;3;462,00;1354,09;762,30;31,91;Hayır;Mağaza;MUS-0069
2026-01-07;GIY-002;Giyim Ürünü 2;Giyim;1;698,00;648,99;383,90;49,01;Hayır;Mağaza;MUS-0087
2026-01-07;AYK-002;Ayakkabı 2;Ayakkabı;3;1387,00;4091,93;2496,60;69,07;Hayır;Mağaza;MUS-0136
2026-01-07;ELK-003;Elektronik 3;Elektronik;2;3883,00;7657,18;6212,80;108,82;Hayır;Mağaza;MUS-0172
2026-01-07;AKS-004;Aksesuar 4;Aksesuar;1;255,00;245,01;114,75;9,99;Hayır;Pazaryeri;MUS-0217
2026-01-07;GIY-001;Giyim Ürünü 1;Giyim;3;205,00;598,74;338,25;16,26;Hayır;Mağaza;MUS-0265
2026-01-07;GIY-003;Giyim Ürünü 3;Giyim;1;586,00;584,63;322,30;1,37;Hayır;Mağaza;MUS-0083
2026-01-07;ELK-003;Elektronik 3;Elektronik;3;5891,00;16880,84;14138,40;792,16;Hayır;Web;MUS-0001
2026-01-07;ELK-003;Elektronik 3;Elektronik;1;2215,00;2075,35;1772,00;139,65;Hayır;Web;MUS-0283
2026-01-07;AKS-002;Aksesuar 2;Aksesuar;2;269,00;532,35;242,10;5,65;Hayır;Pazaryeri;MUS-0338
2026-01-07;AKS-005;Aksesuar 5;Aksesuar;3;306,00;854,97;413,10;63,03;Hayır;Mağaza;MUS-0069
2026-01-07;GIY-004;Giyim Ürünü 4;Giyim;1;683,00;655,32;375,65;27,68;Hayır;Pazaryeri;MUS-0254
2026-01-07;EVT-004;Ev Tekstili 4;Ev Tekstili;1;340,00;333,40;170,00;6,60;Hayır;Mağaza;MUS-0223
2026-01-07;EVT-004;Ev Tekstili 4;Ev Tekstili;3;895,00;2521,60;1342,50;163,40;Hayır;Pazaryeri;MUS-0301
2026-01-07;ELK-002;Elektronik 2;Elektronik;2;1018,00;1888,61;1628,80;147,39;Hayır;Mağaza;MUS-0071
2026-01-07;ELK-004;Elektronik 4;Elektronik;1;4851,00;4769,56;3880,80;81,44;Hayır;Web;MUS-0008
2026-01-07;GIY-005;Giyim Ürünü 5;Giyim;3;339,00;1001,57;559,35;15,43;Hayır;Web;MUS-0315
2026-01-08;GIY-001;Giyim Ürünü 1;Giyim;2;644,00;1253,79;708,40;34,21;Hayır;Pazaryeri;MUS-0281
2026-01-08;ELK-004;Elektronik 4;Elektronik;1;2151,00;2031,33;1720,80;119,67;Hayır;Mağaza;MUS-0080
2026-01-08;EVT-003;Ev Tekstili 3;Ev Tekstili;3;370,00;1096,00;555,00;14,00;Hayır;Pazaryeri;MUS-0332
2026-01-08;ELK-001;Elektronik 1;Elektronik;2;5413,00;10666,71;8660,80;159,29;Hayır;Mağaza;MUS-0291
2026-01-08;GIY-004;Giyim Ürünü 4;Giyim;2;222,00;442,58;244,20;1,42;Hayır;Mağaza;MUS-0306
2026-01-08;GIY-001;Giyim Ürünü 1;Giyim;1;284,00;282,26;156,20;1,74;Hayır;Pazaryeri;MUS-0315
2026-01-08;AYK-002;Ayakkabı 2;Ayakkabı;2;552,00;1060,08;662,40;43,92;Hayır;Web;MUS-0241
2026-01-08;AKS-005;Aksesuar 5;Aksesuar;2;69,00;132,69;62,10;5,31;Hayır;Pazaryeri;MUS-0179
2026-01-08;ELK-001;Elektronik 1;Elektronik;2;5877,00;11644,16;9403,20;109,84;Hayır;Web;MUS-0082
2026-01-08;GIY-003;Giyim Ürünü 3;Giyim;2;438,00;842,30;481,80;33,70;Hayır;Mağaza;MUS-0025
2026-01-08;AKS-001;Aksesuar 1;Aksesuar;1;135,00;126,98;60,75;8,02;Hayır;Web;MUS-0152
2026-01-08;EVT-004;Ev Tekstili 4;Ev Tekstili;2;607,00;1128,74;607,00;85,26;Hayır;Web;MUS-0321
2026-01-08;GIY-005;Giyim Ürünü 5;Giyim;2;487,00;919,70;535,70;54,30;Hayır;Mağaza;MUS-0230
2026-01-08;AKS-003;Aksesuar 3;Aksesuar;1;161,00;157,73;72,45;3,27;Hayır;Mağaza;MUS-0048
2026-01-08;AKS-002;Aksesuar 2;Aksesuar;2;146,00;284,12;131,40;7,88;Hayır;Web;MUS-0274
2026-01-08;GIY-005;Giyim Ürünü 5;Giyim;2;402,00;776,23;442,20;27,77;Hayır;Web;MUS-0197
2026-01-08;GIY-005;Giyim Ürünü 5;Giyim;1;459,00;452,18;252,45;6,82;Hayır;Mağaza;MUS-0270
2026-01-08;AKS-005;Aksesuar 5;Aksesuar;2;167,00;320,80;150,30;13,20;Hayır;Web;MUS-0241
2026-01-08;EVT-004;Ev Tekstili 4;Ev Tekstili;3;613,00;1701,62;919,50;137,38;Hayır;Web;MUS-0065
2026-01-08;GIY-004;Giyim Ürünü 4;Giyim;2;451,00;836,20;496,10;65,80;Hayır;Web;MUS-0212
2026-01-08;EVT-003;Ev Tekstili 3;Ev Tekstili;3;800,00;2339,59;1200,00;60,41;Hayır;Pazaryeri;MUS-0005
2026-01-08;AKS-002;Aksesuar 2;Aksesuar;1;66,00;61,15;29,70;4,85;Hayır;Mağaza;MUS-0099
2026-01-08;ELK-004;Elektronik 4;Elektronik;1;5657,00;5269,46;4525,60;387,54;Hayır;Mağaza;MUS-0214
2026-01-09;AKS-004;Aksesuar 4;Aksesuar;3;145,00;407,32;195,75;27,68;Hayır;Web;MUS-0036
2026-01-09;AKS-004;Aksesuar 4;Aksesuar;2;231,00;454,06;207,90;7,94;Hayır;Pazaryeri;MUS-0222
2026-01-09;ELK-001;Elektronik 1;Elektronik;1;907,00;886,21;725,60;20,79;Hayır;Pazaryeri;MUS-0023
2026-01-09;GIY-002;Giyim Ürünü 2;Giyim;2;398,00;791,08;437,80;4,92;Hayır;Web;MUS-0259
2026-01-09;EVT-003;Ev Tekstili 3;Ev Tekstili;2;168,00;323,11;168,00;12,89;Hayır;Pazaryeri;MUS-0202
2026-01-09;GIY-001;Giyim Ürünü 1;Giyim;1;255,00;251,72;140,25;3,28;Hayır;Pazaryeri;MUS-0251
2026-01-09;AYK-003;Ayakkabı 3;Ayakkabı;3;428,00;1262,42;770,40;21,58;Hayır;Web;MUS-0156
2026-01-09;EVT-001;Ev Tekstili 1;Ev Tekstili;1;874,00;845,72;437,00;28,28;Hayır;Mağaza;MUS-0350
2026-01-09;AKS-003;Aksesuar 3;Aksesuar;1;289,00;279,27;130,05;9,73;Hayır;Pazaryeri;MUS-0063
2026-01-09;EVT-004;Ev Tekstili 4;Ev Tekstili;2;322,00;595,64;322,00;48,36;Hayır;Pazaryeri;MUS-0075
2026-01-09;GIY-005;Giyim Ürünü 5;Giyim;2;667,00;1263,16;733,70;70,84;Hayır;Web;MUS-0317
2026-01-09;AYK-002;Ayakkabı 2;Ayakkabı;2;861,00;1667,05;1033,20;54,95;Hayır;Pazaryeri;MUS-0268
2026-01-09;AKS-001;Aksesuar 1;Aksesuar;1;290,00;288,99;130,50;1,01;Hayır;Mağaza;MUS-0011
2026-01-09;ELK-004;Elektronik 4;Elektronik;2;4195,00;7888,75;6712,00;501,25;Hayır;Pazaryeri;MUS-0309
2026-01-09;GIY-003;Giyim Ürünü 3;Giyim;2;683,00;1278,79;751,30;87,21;Hayır;Pazaryeri;MUS-0198
2026-01-09;GIY-001;Giyim Ürünü 1;Giyim;3;676,00;1954,81;1115,40;73,19;Hayır;Mağaza;MUS-0335
2026-01-09;GIY-004;Giyim Ürünü 4;Giyim;2;205,00;404,29;225,50;5,71;Hayır;Web;MUS-0189
2026-01-09;GIY-005;Giyim Ürünü 5;Giyim;2;316,00;581,68;347,60;50,32;Hayır;Mağaza;MUS-0159
2026-01-09;GIY-002;Giyim Ürünü 2;Giyim;1;694,00;678,41;381,70;15,59;Hayır;Web;MUS-0165
2026-01-09;GIY-005;Giyim Ürünü 5;Giyim;2;445,00;878,05;489,50;11,95;Hayır;Mağaza;MUS-0329
2026-01-10;ELK-003;Elektronik 3;Elektronik;1;2345,00;2242,01;1876,00;102,99;Hayır;Web;MUS-0323
2026-01-10;ELK-003;Elektronik 3;Elektronik;1;2389,00;2243,28;1911,20;145,72;Hayır;Mağaza;MUS-0263
2026-01-10;GIY-005;Giyim Ürünü 5;Giyim;1;339,00;313,42;186,45;25,58;Hayır;Pazaryeri;MUS-0190
2026-01-10;GIY-005;Giyim Ürünü 5;Giyim;3;568,00;1699,68;937,20;4,32;Hayır;Web;MUS-0107
2026-01-10;AYK-002;Ayakkabı 2;Ayakkabı;3;405,00;1194,64;729,00;20,36;Hayır;Mağaza;MUS-0046
2026-01-10;GIY-002;Giyim Ürünü 2;Giyim;3;293,00;865,12;483,45;13,88;Hayır;Web;MUS-0255
2026-01-10;GIY-003;Giyim Ürünü 3;Giyim;3;222,00;618,44;366,30;47,56;Hayır;Pazaryeri;MUS-0178
2026-01-10;GIY-004;Giyim Ürünü 4;Giyim;1;197,00;184,51;108,35;12,49;Hayır;Web;MUS-0348
2026-01-10;ELK-004;Elektronik 4;Elektronik;1;2432,00;2359,68;1945,60;72,32;Hayır;Web;MUS-0292
2026-01-10;AYK-004;Ayakkabı 4;Ayakkabı;2;681,00;1328,85;817,20;33,15;Hayır;Web;MUS-0218
